,lat,lon
Hosakerehalli Layout,12.934592,77.5423407
Hennagara,12.7906876,77.6741161
Ferrar Nagar,13.1164358,77.5642942
Green Glen Layout,12.9269039,77.6701877
Thubarahalli,12.9547872,77.7213154
M.G Road,12.9734944,77.6151603
Naganathapura,12.8717952,77.6655933
Basavanagara,12.9667792,77.6828496
Horamavu Banaswadi,13.0189352,77.655324
1st Phase JP Nagar,12.9103614,77.5991174
Kaverappa Layout,12.9367886,77.6980587
NGR Layout,12.9878104,77.5809833
sapthagiri Layout,13.0368052,77.4960405
Seegehalli,13.0164845,77.71748
BEML Layout,12.9604848,77.716543
Alur,12.9606057,77.5713476
Devarabisanahalli,12.9234847,77.6869662
NRI Layout,13.0271999,77.6792114
Sidedahalli,13.0625424,77.4953754
Dwarka Nagar,13.0880852,77.4949031
ITPL,12.9846295,77.7377329
Kattigenahalli,13.1177735,77.6261222
Weavers Colony,12.8454948,77.5831295
Raghavendra Nagar,12.8918543,77.5777361
KR Layout,13.0121705,77.6961802
Babusapalaya,13.0283523,77.650469
Nagappa Reddy Layout,12.9599768,77.7154704
Kempapura,13.0533141,77.6038277
BTM 1st Stage,12.9082964,77.6011675
Kariyammana Agrahara,12.9371495,77.6873031
Hessarghatta,13.0484259,77.5076232
Binnamangala,12.9839881,77.6416769
Suraksha Nagar,12.9749515,77.6063599
Lakshmi Layout,12.8862931,77.6379463
Kadugondanahalli,13.0207029,77.6215464
Basava Nagar,12.9854757,77.5887667
2nd Block Hrbr Layout,13.0215052,77.640534
Canara Bank Layout,13.068572,77.5783554
Manjunath Nagar,12.9939514,77.5480532
Basapura,12.8686664,77.6441741
Channasandra,12.9873426,77.7538033
Singena Agrahara,12.8400642,77.7126767
Sector 1 HSR Layout,12.9119344,77.6527229
Mango Garden Layout,12.8910748,77.5639131
Kacharakanahalli,13.0215678,77.6309556
Choodasandra,12.8883623,77.6799727
Sai Gardens,12.9467591,77.6760671
Dodda Kempaiah Layout,13.0362694,77.671033
Hanumanth Nagar,12.9473478,77.5634776
Kaikondrahalli,12.9138348,77.6775268
Hunasamaranahalli,13.1398615,77.6230512
Bileshivale,13.0543306,77.6710224
Neeladri Nagar,12.8415946,77.6479125
Williams Town,12.9991567,77.6067556
Jaya Nagar East,13.0203531,77.6634987
Iggalur,12.781144,77.7014486
Cooke Town,13.0021998,77.6251814
Doddakallasandra,12.8846862,77.552751
Chokkanahalli,13.0850788,77.6263539
Chikkaballapur,13.0993764,77.388729
Chamrajpet,12.9584184,77.5629161
Byappanahalli,12.9896869,77.6541742
Vasanth nagar,12.9921738,77.591459
